animal_id,avg_daily_km,max_daily_km,total_km,days_tracked
178881.0,28.19445116738665,2206.427504758149,7471.529559357462,265
64791.0,25.023219812840864,1064.218547033609,5530.131578637831,221
52231.0,20.472149536941153,960.0627081494277,3562.154019427761,174
64795.0,15.126109449977939,909.7533584461144,3252.1135317452568,215
52253.0,14.564006804931966,949.4995528859359,3058.4414290357126,210
64792.0,29.98328522059102,462.85022006583364,2938.36195161792,98
52237.0,10.566256310109933,949.6601171685741,2789.491665869022,264
64789.0,11.990110537733488,980.4025693399288,2637.8243183013674,220
64797.0,9.95392100182198,945.1503541676321,2518.342013460961,253
52252.0,8.966695703591087,931.1566273576375,2116.1401860474966,236
64794.0,8.084551462958657,978.9578885867942,1899.8695937952843,235
52236.0,6.44025237902946,862.68805827325,1564.9813281041588,243
64790.0,5.517111744654544,518.7161405019534,1224.7988073133088,222
64798.0,4.461729521677747,246.59450297500504,1200.205241331314,269
52232.0,4.111338505097354,29.10067010055335,1089.504703850799,265
64802.0,4.389037797774947,91.17439669061004,1057.7581092637622,241
178884.0,4.662526587426567,323.3120063043093,1044.4059555835508,224
178882.0,4.297050428384998,83.36599197277216,1018.4009515272446,237
52226.0,3.8738835117297183,78.20007684145294,987.8402954910782,255
64793.0,3.788900517180282,52.61628067066901,810.8247106765804,214
52234.0,2.6946252889022344,66.03280315580533,708.6864509812876,263
52224.0,2.570120957542774,20.78936647754813,601.4083040650091,234
52227.0,2.8356268552911454,210.06602771450173,405.4946403066338,143
